"reason","phone","row_number","governorate","language","raw_preview"
"invalid_or_missing_phone",,"24","Anbar","kurdish","IQ057949 OpenStreetMap محطة وقود الميلاد Arabic-script unknown    Anbar الأنبار ئەنبار الرمادي,5 كيلو Automotive & Transport amenity fuel Private sector / economically relevant Private/economic amenity    NO missing      0 5كيلو, الرمادي,5 كيلو 5كيلو"
"invalid_or_missing_phone",,"25","Anbar","kurdish","IQ058228 OpenStreetMap محطة وقود رماح الانبار Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Automotive & Transport amenity fuel Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.421381 43.334386 htt"
"invalid_or_missing_phone",,"26","Anbar","kurdish","IQ057848 OpenStreetMap محطة وقود مها البادية Arabic-script unknown    Anbar الأنبار ئەنبار البوجليب Automotive & Transport amenity fuel Private sector / economically relevant Private/economic amenity    NO missing      0 دولي الانبار, البوجليب دولي ا"
"invalid_or_missing_phone",,"27","Anbar","kurdish","IQ058448 OpenStreetMap حلاقة قاسم للرجال Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Beauty & Personal Care shop hairdresser Private sector / economically relevant Private commercial    NO missing      0 Anbar   33.424822 43.301314 https://ww"
"invalid_or_missing_phone",,"28","Anbar","kurdish","IQ058683 OpenStreetMap قاعة  ليلة العمر للمناسبات Arabic-script unknown    Anbar الأنبار ئەنبار التأميم Craft & Trades craft caterer Private sector / economically relevant Private commercial    NO missing      0 التأميم   33.423578 43.265926 https://"
"invalid_or_missing_phone",,"29","Anbar","kurdish","IQ058681 OpenStreetMap قاعة ريتال للمناسبات Arabic-script unknown    Anbar الأنبار ئەنبار الرمادي Craft & Trades craft caterer Private sector / economically relevant Private commercial    NO missing      0 التأميم, الرمادي التأميم  33.408252 43.27892"
"invalid_or_missing_phone",,"30","Anbar","kurdish","IQ058682 OpenStreetMap مولدات تجهيز البيوت Arabic-script unknown    Anbar الأنبار ئەنبار 5كيلو Craft & Trades craft electrician Private sector / economically relevant Private commercial    NO missing      0 5كيلو   33.424847 43.244274 https://www.goo"
"invalid_or_missing_phone",,"31","Anbar","kurdish","IQ058664 OpenStreetMap لؤي جيم Arabic-script unknown   loay gym Anbar الأنبار ئەنبار Anbar Entertainment & Recreation leisure fitness_centre Private sector / economically relevant Private leisure/recreation    NO missing      0 Anbar   33.423114 43.2"
"invalid_or_missing_phone",,"32","Anbar","kurdish","IQ058665 OpenStreetMap مسبح الرمادي Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Entertainment & Recreation leisure sauna Private sector / economically relevant Private leisure/recreation    NO missing      0 Anbar   33.426271 43.326844 https:"
"invalid_or_missing_phone",,"33","Anbar","kurdish","IQ057932 OpenStreetMap قاعة الدكتور علي فرحان Arabic-script unknown    Anbar الأنبار ئەنبار الرمادي Entertainment & Venues amenity events_venue Private sector / economically relevant Private/economic amenity    NO missing      0 الرمادي   33.417657 4"
"invalid_or_missing_phone",,"34","Anbar","kurdish","IQ057971 OpenStreetMap قاعة حسين علي بحص المحلاوي Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Entertainment & Venues amenity events_venue Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.421473 4"
"invalid_or_missing_phone",,"35","Anbar","kurdish","IQ058257 OpenStreetMap مطعم وقاعة sh للمناسبات Mixed    Anbar الأنبار ئەنبار Anbar Entertainment & Venues amenity events_venue Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.452262 43.330218 https://ww"
"invalid_or_missing_phone",,"36","Anbar","kurdish","IQ057961 OpenStreetMap Newfunk English/Latin   Newfunk Anbar الأنبار ئەنبار Anbar Finance amenity bureau_de_change Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.421092 43.245192 https://www.google.com"
"invalid_or_missing_phone",,"37","Anbar","kurdish","IQ057960 OpenStreetMap Saad Al Obaidi English/Latin   Saad Al Obaidi Anbar الأنبار ئەنبار Anbar Finance amenity bureau_de_change Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.421724 43.244207 https://"
"invalid_or_missing_phone",,"38","Anbar","kurdish","IQ058066 OpenStreetMap المصرف العراقي للتجارة Arabic-script unknown   Trade Bank of Iraq Branch Anbar الأنبار ئەنبار Anbar Finance amenity bank Private sector / economically relevant Private/economic amenity    NO missing  https://tbi.com.iq/    1 An"
"invalid_or_missing_phone",,"39","Anbar","kurdish","IQ058068 OpenStreetMap المصرف العقاري فرع الرمادي Arabic-script unknown    Anbar الأنبار ئەنبار الرمادي Finance amenity bank Private sector / economically relevant Private/economic amenity    NO missing      0 شارع العام, الرمادي شارع العام  33.42608"
"invalid_or_missing_phone",,"40","Anbar","kurdish","IQ058059 OpenStreetMap شركة الاحرار العربية للصرافة Arabic-script unknown    Anbar الأنبار ئەنبار الرمادي Finance amenity bureau_de_change Private sector / economically relevant Private/economic amenity    NO missing      0 الرمادي   33.415672 43.305"
"invalid_or_missing_phone",,"41","Anbar","kurdish","IQ058102 OpenStreetMap شركة الاحرار للصيرفة Arabic-script unknown    Anbar الأنبار ئەنبار الرمادي Finance amenity bureau_de_change Private sector / economically relevant Private/economic amenity    NO missing      0 الرمادي   33.422652 43.302225 http"
"invalid_or_missing_phone",,"42","Anbar","kurdish","IQ058010 OpenStreetMap شركة المنامة للصرافة - الانبار Arabic-script unknown    Anbar الأنبار ئەنبار الرمادي Finance amenity bureau_de_change Private sector / economically relevant Private/economic amenity    NO missing      0 الرمادي   33.427847 43.2"
"invalid_or_missing_phone",,"43","Anbar","kurdish","IQ058101 OpenStreetMap مركز الابراهيمي Arabic-script unknown    Anbar الأنبار ئەنبار الرمادي Finance amenity bureau_de_change Private sector / economically relevant Private/economic amenity    NO missing      0 الرمادي   33.426521 43.303444 https://w"
"invalid_or_missing_phone",,"44","Anbar","kurdish","IQ058097 OpenStreetMap مصرف التنمية الدولي فرع الرمادي Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Finance amenity bank Private sector / economically relevant Private/economic amenity    NO missing      0 شارع المستودع, Anbar شارع المستودع  3"
"invalid_or_missing_phone",,"45","Anbar","kurdish","IQ058364 OpenStreetMap مصرف الرافدين Arabic-script unknown   Rafidain Bank Anbar الأنبار ئەنبار الخالدية Finance amenity bank Private sector / economically relevant Private/economic amenity    NO missing      0 شارع المصرف, الخالدية شارع المصرف  33.3"
"invalid_or_missing_phone",,"46","Anbar","kurdish","IQ058040 OpenStreetMap مصرف الرافدين فرع الرمادي Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Finance amenity bank Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.424335 43.288508 https://www.goo"
"invalid_or_missing_phone",,"47","Anbar","kurdish","IQ058079 OpenStreetMap مصرف الرشيد فرع الرمادي 37 Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Finance amenity bank Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.422755 43.302796 https://www.go"
"invalid_or_missing_phone",,"48","Anbar","kurdish","IQ058083 OpenStreetMap Burgereze English/Latin    Anbar الأنبار ئەنبار Anbar Food & Drink amenity fast_food Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.422842 43.301887 https://www.google.com/maps?q"
"invalid_or_missing_phone",,"49","Anbar","kurdish","IQ058233 OpenStreetMap المطعم الملكي Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.422442 43.342026 https://www.goog"
"invalid_or_missing_phone",,"50","Anbar","kurdish","IQ057891 OpenStreetMap النادي المركزي Arabic النادي المركزي   Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.403283 43.265509 https://www.goog"
"invalid_or_missing_phone",,"51","Anbar","kurdish","IQ058018 OpenStreetMap بابلو للمناسبات قاعه وكافيه Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Food & Drink amenity cafe Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.430346 43.268665 https://"
"invalid_or_missing_phone",,"52","Anbar","kurdish","IQ057988 OpenStreetMap حجي باسم Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.423076 43.265769 https://www.google.co"
"invalid_or_missing_phone",,"53","Anbar","kurdish","IQ058388 OpenStreetMap كرم دليم Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.438256 43.277737 https://www.google.co"
"invalid_or_missing_phone",,"54","Anbar","kurdish","IQ058249 OpenStreetMap كوفي الريان Arabic-script unknown   alRayan Cafe Anbar الأنبار ئەنبار Anbar Food & Drink amenity cafe Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.444306 43.323355 https://www."
"invalid_or_missing_phone",,"55","Anbar","kurdish","IQ057992 OpenStreetMap كوفي الفهد Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Food & Drink amenity cafe Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.418788 43.271548 https://www.google.com/ma"
"invalid_or_missing_phone",,"56","Baghdad","kurdish","IQ058131 OpenStreetMap مأكولات البغدادي Arabic-script unknown   Al-Baghdadi Fast Food Anbar الأنبار ئەنبار Anbar Food & Drink amenity fast_food Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.433808 43."
"invalid_or_missing_phone",,"57","Anbar","kurdish","IQ058111 OpenStreetMap مأكولات بيروت Arabic-script unknown   Bayrot Anbar الأنبار ئەنبار Anbar Food & Drink amenity fast_food Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.43224 43.297771 https://www."
"invalid_or_missing_phone",,"58","Anbar","kurdish","IQ058251 OpenStreetMap مرطبات دريم Arabic-script unknown   Dream Icecream Anbar الأنبار ئەنبار Anbar Food & Drink amenity ice_cream Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.445665 43.329178 https"
"invalid_or_missing_phone",,"59","Anbar","kurdish","IQ058166 OpenStreetMap مستر كنتاكي Arabic-script unknown   MR.KENTUCKY Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 شارع 20, Anbar شارع 20 24/7 33.4199"
"invalid_or_missing_phone",,"60","Anbar","kurdish","IQ058110 OpenStreetMap مشويات عمر يوسف Arabic-script unknown   Omar Yousif Grills Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.432071 43.297"
"invalid_or_missing_phone",,"61","Anbar","kurdish","IQ058132 OpenStreetMap مطعم اجواء لبنان Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 شارع عمر, Anbar شارع عمر 24/7 33.435021 4"
"invalid_or_missing_phone",,"62","Anbar","kurdish","IQ058151 OpenStreetMap مطعم العزايم Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.452557 43.300195 https://www.googl"
"invalid_or_missing_phone",,"63","Anbar","kurdish","IQ058027 OpenStreetMap مطعم القصر الابيض Arabic-script unknown   white palace Rest. Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.43831 43.27"
"invalid_or_missing_phone",,"64","Anbar","kurdish","IQ058090 OpenStreetMap مطعم ام تي MT Mixed    Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.423061 43.301866 https://www.google.com/maps?q=33"
"invalid_or_missing_phone",,"65","Anbar","kurdish","IQ058000 OpenStreetMap مطعم حجي باسم Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 التأميم, Anbar التأميم  33.416287 43.275924 "
"invalid_or_missing_phone",,"66","Anbar","kurdish","IQ058109 OpenStreetMap مطعم حجي زياد Arabic-script unknown   Haji Zyad Restaurant Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar  Mo-Su 06:00-23:00"
"invalid_or_missing_phone",,"67","Anbar","kurdish","IQ058129 OpenStreetMap مطعم حجي كريم m&h Mixed    Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.428223 43.302666 https://www.google.com/maps?"
"invalid_or_missing_phone",,"68","Anbar","kurdish","IQ058112 OpenStreetMap مطعم حضرموت الرمادي Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.431852 43.297415 https://ww"
"invalid_or_missing_phone",,"69","Anbar","kurdish","IQ058053 OpenStreetMap مطعم زهر الليمون Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.420088 43.301912 https://www.g"
"invalid_or_missing_phone",,"70","Anbar","kurdish","IQ057991 OpenStreetMap مطعم سيوفي Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.419518 43.271711 https://www.google."
"invalid_or_missing_phone",,"72","Anbar","kurdish","IQ058022 OpenStreetMap مطعم ومقهى حجي رشيد السياحي Arabic-script unknown   Haji Rasheed rest. & café Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar"
"invalid_or_missing_phone",,"73","Anbar","kurdish","IQ058021 OpenStreetMap مطعم ومقهى عيون المدينة Arabic-script unknown   Uyoon Al-Madina Cafe & Restaurant Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 A"
"invalid_or_missing_phone",,"74","Anbar","kurdish","IQ057967 OpenStreetMap مطعم 🍴 السدير Arabic مطعم 🍴 السدير   Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.421506 43.249582 https://www.goog"
"invalid_or_missing_phone",,"75","Anbar","kurdish","IQ057926 OpenStreetMap مطعم 🍴 حجي محمد Arabic مطعم 🍴 حجي محمد   Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.415155 43.227188 https://www."
"invalid_or_missing_phone",,"76","Anbar","kurdish","IQ057893 OpenStreetMap نادي العلوم Arabic نادي العلوم   Anbar الأنبار ئەنبار Anbar Food & Drink amenity restaurant Private sector / economically relevant Private/economic amenity    NO missing      0 Anbar   33.40326 43.26384 https://www.google.com/m"
"invalid_or_missing_phone",,"77","Anbar","kurdish","IQ058436 OpenStreetMap اسماك السلام Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Food Retail shop seafood Private sector / economically relevant Private commercial    NO missing      0 Anbar   33.41798 43.286819 https://www.google.com/maps?q=3"
"invalid_or_missing_phone",,"78","Anbar","kurdish","IQ058440 OpenStreetMap اسواق الرؤى للتسوق المنزلي Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Food Retail shop confectionery Private sector / economically relevant Private commercial    NO missing      0 Anbar   33.415772 43.301766 https://ww"
"invalid_or_missing_phone",,"79","Anbar","kurdish","IQ058420 OpenStreetMap افران المصطفى للصمون الحجري Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Food Retail shop bakery Private sector / economically relevant Private commercial    NO missing      0 Anbar   33.419 43.240339 https://www.google."
"invalid_or_missing_phone",,"80","Anbar","kurdish","IQ058489 OpenStreetMap حلويات دليل Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Food Retail shop confectionery Private sector / economically relevant Private commercial    NO missing      0 Anbar   33.430087 43.344796 https://www.google.com/ma"
"invalid_or_missing_phone",,"81","Anbar","kurdish","IQ058464 OpenStreetMap حلويات ومعجنات الحمداني Arabic-script unknown   Al-Hamadani Sweets and Bakery Anbar الأنبار ئەنبار Anbar Food Retail shop confectionery Private sector / economically relevant Private commercial    NO missing      0 Anbar   33.4"
"invalid_or_missing_phone",,"82","Anbar","kurdish","IQ058496 OpenStreetMap عشيرة البوذياب Arabic-script unknown   Al-Buthyab Clan Anbar الأنبار ئەنبار Anbar Food Retail shop greengrocer Private sector / economically relevant Private commercial    NO missing      0 Anbar   33.492242 43.246234 https://w"
"invalid_or_missing_phone",,"83","Anbar","kurdish","IQ058438 OpenStreetMap مخبز صمون الضياء Arabic-script unknown    Anbar الأنبار ئەنبار الرمادي ,الحوز Food Retail shop bakery Private sector / economically relevant Private commercial    NO missing      0 شارع شهداء الحوز, الرمادي ,الحوز شارع شهداء ال"
"invalid_or_missing_phone",,"84","Anbar","kurdish","IQ058421 OpenStreetMap وسام المولى Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Food Retail shop pastry Private sector / economically relevant Private commercial    NO missing      0 Anbar   33.419347 43.240389 https://www.google.com/maps?q=33"
"invalid_or_missing_phone",,"85","Anbar","kurdish","IQ058031 OpenStreetMap AR RAMADI HOSPITAL CIVILIAN English/Latin   AR RAMADI HOSPITAL CIVILIAN Anbar الأنبار ئەنبار Anbar Healthcare amenity hospital Private sector / economically relevant Healthcare included - verify private/public when unclear Need"
"invalid_or_missing_phone",,"86","Anbar","kurdish","IQ058096 OpenStreetMap الدكتور عمار محمد عبدالله اخصائي طب الاطفال وحديثي الولادة Arabic-script unknown الدكتور عمار محمد عبدالله أخصائي طب الاطفال وحديثي الولادة  Dr. Ammar Mohammed Abdullah, pediatrician and neonatologist Anbar الأنبار ئەنبار Anbar"
"invalid_or_missing_phone",,"87","Anbar","kurdish","IQ058527 OpenStreetMap السويداوي 2 Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Healthcare office yes Private sector / economically relevant Healthcare included - verify private/public when unclear Needs private/public verification   NO missin"
"invalid_or_missing_phone",,"88","Anbar","kurdish","IQ058693 OpenStreetMap المركز التخصصي لطب الاسنان Arabic-script unknown    Anbar الأنبار ئەنبار الرمادي Healthcare healthcare yes Private sector / economically relevant Healthcare included - verify private/public when unclear Needs private/public ver"
"invalid_or_missing_phone",,"89","Anbar","kurdish","IQ058137 OpenStreetMap بَنَدول Arabic-script unknown صيدلية بندول  panadol parmacy Anbar الأنبار ئەنبار Anbar Healthcare amenity pharmacy Private sector / economically relevant Healthcare included - verify private/public when unclear Likely private/p"
"invalid_or_missing_phone",,"91","Anbar","kurdish","IQ058063 OpenStreetMap دائرة الولادات والوفيات Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Healthcare amenity hospital Private sector / economically relevant Healthcare included - verify private/public when unclear Needs private/public verifi"
"invalid_or_missing_phone",,"92","Anbar","kurdish","IQ057938 OpenStreetMap دكتور حميد طه Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Healthcare amenity doctors Private sector / economically relevant Healthcare included - verify private/public when unclear Likely private/professional healthcare"
"invalid_or_missing_phone",,"93","Anbar","kurdish","IQ058092 OpenStreetMap صيدلية اكد Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Healthcare amenity pharmacy Private sector / economically relevant Healthcare included - verify private/public when unclear Likely private/professional healthcare  "
"invalid_or_missing_phone",,"94","Anbar","kurdish","IQ057954 OpenStreetMap صيدلية الامل Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Healthcare amenity pharmacy Private sector / economically relevant Healthcare included - verify private/public when unclear Likely private/professional healthcare"
"invalid_or_missing_phone",,"95","Anbar","kurdish","IQ057917 OpenStreetMap صيدلية الجامعة Arabic-script unknown    Anbar الأنبار ئەنبار الرمادي, التأميم Healthcare amenity pharmacy Private sector / economically relevant Healthcare included - verify private/public when unclear Likely private/profession"
"invalid_or_missing_phone",,"96","Anbar","kurdish","IQ058038 OpenStreetMap صيدلية دلهي Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Healthcare amenity pharmacy Private sector / economically relevant Healthcare included - verify private/public when unclear Likely private/professional healthcare "
"invalid_or_missing_phone",,"97","Anbar","kurdish","IQ058046 OpenStreetMap صيدلية سلامتك Arabic-script unknown    Anbar الأنبار ئەنبار الرمادي ,الحوز Healthcare amenity pharmacy Private sector / economically relevant Healthcare included - verify private/public when unclear Likely private/professional "
"invalid_or_missing_phone",,"98","Anbar","kurdish","IQ057956 OpenStreetMap صيدلية عالم العلاج Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Healthcare amenity pharmacy Private sector / economically relevant Healthcare included - verify private/public when unclear Likely private/professional heal"
"invalid_or_missing_phone",,"99","Anbar","kurdish","IQ057955 OpenStreetMap صيدلية همسة Arabic-script unknown    Anbar الأنبار ئەنبار Anbar Healthcare amenity pharmacy Private sector / economically relevant Healthcare included - verify private/public when unclear Likely private/professional healthcare "
"invalid_or_missing_phone",,"100","Anbar","kurdish","IQ058185 OpenStreetMap عيادة الدكتورة زبيدة عبدالحكيم السعدي Arabic-script unknown    Anbar الأنبار ئەنبار الرمادي Healthcare amenity dentist Private sector / economically relevant Healthcare included - verify private/public when unclear Likely priva"
